Postal Code,District
10115,Mitte
10117,Mitte
10119,Mitte
10178,Mitte
10179,Mitte
10243,Friedrichshain
10245,Friedrichshain
10247,Friedrichshain
10249,Friedrichshain
10315,Friedrichsfelde
10317,Friedrichsfelde
10318,Lichtenberg
10319,Lichtenberg
10365,Lichtenberg
10367,Lichtenberg
10369,Lichtenberg
10405,Prenzlauer Berg
10407,Prenzlauer Berg
10409,Prenzlauer Berg
10435,Prenzlauer Berg
10437,Prenzlauer Berg
10439,Prenzlauer Berg
10551,Tiergarten
10553,Tiergarten
10555,Tiergarten
10557,Tiergarten
10559,Tiergarten
10585,Charlottenburg
10587,Charlottenburg
10589,Charlottenburg
10623,Charlottenburg
10625,Charlottenburg
10627,Charlottenburg
10629,Charlottenburg
10707,Wilmersdorf
10709,Wilmersdorf
10711,Wilmersdorf
10713,Wilmersdorf
10715,Wilmersdorf
10717,Wilmersdorf
10719,Wilmersdorf
10777,Tempelhof
10779,Tempelhof
10781,Tempelhof
10783,Tempelhof
10785,Tempelhof
10787,Tempelhof
10789,Tempelhof
10823,Schoeneberg
10825,Schoeneberg
10827,Schoeneberg
10829,Schoeneberg
10961,Kreuzberg
10963,Kreuzberg
10965,Kreuzberg
10967,Kreuzberg
10969,Kreuzberg
10997,Kreuzberg
10999,Kreuzberg
12043,Neukoelln
12045,Neukoelln
12047,Neukoelln
12049,Neukoelln
12051,Neukoelln
12053,Neukoelln
12055,Neukoelln
12057,Neukoelln
12059,Neukoelln
12099,Neukoelln
12101,Mariendorf
12103,Mariendorf
12105,Mariendorf
12107,Mariendorf
12109,Mariendorf
12157,Steglitz
12159,Steglitz
12161,Steglitz
12163,Steglitz
12165,Steglitz
12167,Steglitz
12169,Steglitz
12203,Lichterfelde
12205,Lichterfelde
12207,Lichterfelde
12209,Lichterfelde
12247,Lankwitz
12249,Lankwitz
12277,Marienfelde
12279,Marienfelde
12305,Lichtenrande
12307,Lichtenrande
12309,Lichtenrande
12347,Lichtenrande
12349,Gropiusstadt
12351,Gropiusstadt
12353,Gropiusstadt
12355,Gropiusstadt
12357,Gropiusstadt
12359,Rudow
12435,Niederschoenweide
12437,Niederschoenweide
12439,Niederschoenweide
12459,Koepenick
12487,Adlershof
12489,Adlershof
12524,Bohnsdorf
12526,Bohnsdorf
12527,Bohnsdorf
12555,Koepenick
12557,Koepenick
12559,Koepenick
12587,Koepenick
12589,Koepenick
12619,Hellersdorf
12621,Hellersdorf
12623,Hellersdorf
12627,Hellersdorf
12629,Hellersdorf
12679,Marzahn
12681,Marzahn
12683,Marzahn
12685,Marzahn
12687,Marzahn
12689,Marzahn
13051,Wartenberg
13053,Wartenberg
13055,Wartenberg
13057,Wartenberg
13059,Wartenberg
13086,Weissensee
13088,Weissensee
13089,Weissensee
13125,Blankenfelde
13127,Blankenfelde
13129,Blankenfelde
13156,Blankenfelde
13158,Blankenfelde
13159,Blankenfelde
13187,Pankow
13189,Pankow
13347,Wedding
13349,Wedding
13351,Wedding
13353,Wedding
13355,Wedding
13357,Wedding
13359,Wedding
13403,Reinickerdorf
13405,Reinickerdorf
13407,Reinickerdorf
13409,Reinickerdorf
13435,Wittenau
13437,Wittenau
13439,Wittenau
13465,Hermsdorf
13467,Hermsdorf
13469,Hermsdorf
13503,Heiligensee
13505,Heiligensee
13507,Heiligensee
13509,Spandau
13581,Spandau
13583,Spandau
13585,Spandau
13587,Spandau
13589,Wilhelmstadt
13591,Wilhelmstadt
13593,Wilhelmstadt
13595,Wilhelmstadt
13597,Spandau
13599,Siemensstadt
13627,Siemensstadt
13629,Siemensstadt
14050,Westend
14052,Westend
14053,Westend
14055,Westend
14057,Westend
14059,Westend
14089,Westend
14109,Wannsee
14129,Zehlendorf
14163,Zehlendorf
14165,Zehlendorf
14167,Zehlendorf
14169,Zehlendorf
14193,Schmargendorf
14195,Schmargendorf
14197,Schmargendorf
14199,Schmargendorf